battery_label,cycle,pulse_number,current,voltage,temperature,r0,r1,c1,soc,r2,c2
G1,1,9,2.66025447845459,3.248051166534424,298.15,0.074650897540174,0.0304447871067703,468.6326492178018,0.1151197808317211,0.1636576890962797,1677.4835608336714
G1,2,0,4.850207328796387,4.0862531661987305,298.15,0.0308828980121414,0.0135515940943757,10.686245341028725,1.0,0.0068745866053213,1579.416610199978
G1,2,1,2.660454273223877,4.002560138702393,298.15,0.0314548745748582,0.0081699024809367,562.4661986713305,0.9413285958957084,0.0110276215158231,1798.7715421198395
G1,2,2,2.6604766845703125,3.892757654190064,298.15,0.0274192800728814,0.0025644244653624,441.59874671599147,0.8145447286915062,0.0151027067957513,1820.0759765503872
G1,2,3,2.660149097442627,3.804811477661133,298.15,0.0254747310319506,0.0052486601266997,442.7744404929682,0.7191916456174592,0.0156553675550545,1638.976730228768
G1,2,4,2.6600918769836426,3.702070951461792,298.15,0.0286585030881156,7.26182427147805e-05,393.5967124541135,0.6095792439605965,0.024062501000993,1996.4158266880024
G1,2,5,2.660466194152832,3.62192177772522,298.15,0.0268544967760101,0.0009174598895014,638.955371559006,0.5120569679158726,0.0403220355552943,1999.2322486186536
G1,2,6,2.6604933738708496,3.539616823196411,298.15,0.013511053682853,0.0115024587290346,7.970780386097456,0.4210754019022277,0.0630241933874407,1963.2286431478376
G1,2,7,2.660459518432617,3.4467384815216064,298.15,0.0198288551121505,0.0090110793327397,146.72589726978555,0.3116500468664706,0.082580317079509,1996.677667853362
G1,2,8,2.66042423248291,3.2071008682250977,298.15,0.0372853673587621,0.0025718555037468,17.726102063967716,0.2194110056429376,0.1885896141762096,1999.097681032202
G1,2,9,2.66042709350586,3.227123498916626,298.15,0.0907586436328264,0.1184255697379634,1210.1669173656987,0.1078448847018832,0.0264664772257639,1331.287759709069
G1,3,0,4.850136756896973,4.0866780281066895,298.15,0.031671715758437,0.0105375594765265,810.5637880158077,1.0,0.0006406408396134,1910.9642808343376
G1,3,1,2.660398006439209,3.999833106994629,298.15,0.0297287215765338,0.000606463177707,918.718999427073,0.9418948409152827,0.0133847175422726,1609.52348989836
G1,3,2,2.660408973693848,3.889019250869751,298.15,0.0175075402062076,0.0024440406319171,370.1652891600348,0.81069592178287,0.0170377974373581,1047.593669256663
G1,3,3,2.660431385040283,3.7996985912323,298.15,0.0231842728786802,0.000873827633904,508.892126211549,0.7147356010196643,0.0153124091303814,1976.4002786650208
G1,3,4,2.660426139831543,3.6961653232574463,298.15,0.0202744028813647,0.0003136505061136,566.9618361079555,0.6037617762329951,0.0251803263377461,1996.8782197340463
G1,3,5,2.660403251647949,3.616670608520508,298.15,0.0034136962714983,0.017342469117755,1.5369986653827972,0.5057502713740398,0.0419347362096835,1999.849042635188
G1,3,6,2.6603903770446777,3.5300300121307373,298.15,0.0172379294551107,0.0006270735757994,232.22387800381975,0.4141313626475905,0.0645281019638202,1998.5272511898688
G1,3,7,2.6604127883911133,3.436451911926269,298.15,0.0258641645715854,0.0007506571327346,668.2171654161335,0.3006888099487624,0.0790118411063851,1997.3781691167808
G1,3,8,2.660408973693848,3.168203592300415,298.15,0.0342761185103288,0.0007048282025592,409.72497327224,0.2111673133985555,0.2154150521899166,1994.03157191562
G1,3,9,2.660431385040283,3.190825223922729,298.15,0.0685524974210423,0.0534868245407023,476.46311385839095,0.0958080087430023,0.0976045330898873,909.3409743342488
G1,4,0,4.850166320800781,4.085511684417725,298.15,0.0302341365828249,0.012729702870674,679.0028558328927,1.0,0.0006936949761844,1675.1547993939585
G1,4,1,2.660416603088379,4.001287460327148,298.15,0.0276922686451539,0.0153464520793397,714.742986724187,0.94053147844326,9.962777109347604e-05,1961.020326059514
G1,4,2,2.6604137420654297,3.8924639225006095,298.15,0.0217634829377663,0.000558413796475,1962.72107096217,0.8142839043456487,0.0151031692910161,1940.9480342231448
G1,4,3,2.66038179397583,3.8034207820892334,298.15,0.0200096758732695,0.0037830059683923,130.22239280504124,0.7184513232589771,0.015905095330044,1942.084073901648
G1,4,4,2.660386562347412,3.6983296871185294,298.15,0.0170263844729138,0.0035333754972771,167.29299874970206,0.6084346180182549,0.0259070743698093,1995.772022334528
